Automobile ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Weight Class ID,Category ID,Model,Model Year,City Range,Highway Range,City Fuel Economy,City Fuel Economy Units,Highway Fuel Economy,Highway Fuel Economy Units,City Gas Fuel Economy,Highway Gas Fuel Economy,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Battery Type,Battery Voltage Amps,110v Charge Time,220v Charge Time,Warranty Info,Ordering Info,Description,Comments,Manufacturer,Manufacturer URL,Fuel Code,Fuel,Category,Fuel Configuration Name
11943,57,9,215,"",27,Volt,2018,"","",106.0,MPGe,"","",43.0,42.0,Auto,SI,1.5L,4,"1.5L I4
48 kW & 87 kW electric motor","","","","","","","","",Chevrolet,http://www.chevrolet.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11864,11,5,223,"",27,300,2018,"","",14.0,MPGe,22.0,MPGe,19.0,30.0,Auto,SI,3.6L,6,3.6L V6,"","","","","","","","",Chrysler,http://www.chrysler.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11865,11,5,223,"",27,300 AWD,2018,"","",13.0,MPGe,20.0,MPGe,18.0,27.0,Auto,SI,3.6L,6,3.6L V6,"","","","","","","","",Chrysler,http://www.chrysler.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11944,57,9,223,"",9,Pacifica PHEV,2018,"","",84.0,MPGe,"","",32.0,33.0,Auto,SI,3.6L,6,"3.6L V6
89 kW electric motor","","","","","","","","",Chrysler,http://www.chrysler.com,PHEV,Plug-in Hybrid Electric,Van,Hybrid Electric
11867,11,5,225,"",27,Charger,2018,"","",14.0,MPGe,22.0,MPGe,19.0,30.0,Auto,SI,3.6L,6,3.6L V6,"","","","","","","","",Dodge,http://www.dodge.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11868,11,5,225,"",27,Charger AWD,2018,"","",13.0,MPGe,20.0,MPGe,18.0,27.0,Auto,SI,3.6L,6,3.6L V6,"","","","","","","","",Dodge,http://www.dodge.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11866,11,5,225,"",9,Grand Caravan,2018,"","",12.0,MPGe,18.0,MPGe,17.0,25.0,Auto,SI,3.6L,6,3.6L V6,"","","","","","","","",Dodge,http://www.dodge.com,E85_GSLN,Ethanol (E85),Van,Flexible Fuel
11869,11,5,225,"",29,Journey,2018,"","",12.0,MPGe,18.0,MPGe,17.0,25.0,Auto,SI,3.6L,6,3.6L V6,"","","","","","","","",Dodge,http://www.dodge.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11990,41,1,379,"",27,500e,2018,"","",121.0,MPGe,103.0,MPGe,"","",Auto,SI,82 kW,"","82 kW electric motor
63 Ah battery","","","","","","","","",Fiat,http://www.fiatusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11908,45,9,219,"",27,C-MAX Hybrid FWD,2018,"","","","","","",42.0,38.0,"",SI,2.0L,"",2.0L I4,"","","","","","","","",Ford,http://www.fordvehicles.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11876,11,5,219,"",29,Escape FWD FFV,2018,"","",15.0,MPGe,22.0,MPGe,21.0,29.0,Auto,SI,2.5L,4,2.5L I4,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11881,11,5,219,"",29,Explorer 2WD FFV,2018,"","",13.0,MPGe,18.0,MPGe,17.0,24.0,Auto,SI,3.5L,6,3.5L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11882,11,5,219,"",29,Explorer AWD FFV,2018,"","",12.0,MPGe,16.0,MPGe,16.0,22.0,Auto,SI,3.5L,6,3.5L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11996,57,9,219,"",25,F-150,2018,"","","","","","","","","","","2.7L, 3.3L",6,"2.7L V6, 3.3L V6
XL Hybrids drive system","","","","","","","","",Ford,http://www.fordvehicles.com,PHEV,Plug-in Hybrid Electric,Truck,Hybrid Electric
11854,3,1,219,"",25,F-150,2018,"","","","","","","","",Auto,SI,5.0L,8,5.0L V8,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Truck,Dedicated
11957,55,1,219,"",25,F-150,2018,"","","","","","","","",Auto,SI,5.0L,8,5.0L V8,"","","","","","","","",Ford,http://www.fordvehicles.com,LPG,Propane,Truck,Dedicated
11877,11,5,219,"",25,F150 2WD FFV,2018,"","",12.0,MPGe,17.0,MPGe,17.0,23.0,Auto,SI,5.0L,8,5.0L V8,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11870,11,5,219,"",25,F150 2WD FFV,2018,"","",14.0,MPGe,19.0,MPGe,20.0,25.0,Auto,SI,3.3L,"",3.3L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11871,11,5,219,"",25,F150 4WD FFV,2018,"","",13.0,MPGe,17.0,MPGe,18.0,23.0,Auto,SI,3.3L,6,3.3L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11878,11,5,219,"",25,F150 4WD FFV,2018,"","",12.0,MPGe,15.0,MPGe,16.0,22.0,Auto,SI,5.0L,8,5.0L V8,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11842,41,1,219,"",27,Focus Electric FWD,2018,"","",118.0,MPGe,96.0,MPGe,"","",Auto,e-motor,107 kW electric motor,"","107 kW electric motor
105 Ah battery","","","","","","","","",Ford,http://www.fordvehicles.com,ELEC,Electric,Sedan/Wagon,Dedicated
11945,57,9,219,"",27,Fusion Energi Plug in Hybrid,2018,"","",97.0,MPGe,"","",43.0,41.0,Auto,SI,2.0L,4,"2.0L I4
68 kW electric motor","","","","","","","","",Ford,http://www.fordvehicles.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11909,45,9,219,"",27,Fusion Hybrid FWD,2018,"","","","","","",43.0,41.0,Auto,SI,2.0L,4,2.0L I4,"","","","","","","","",Ford,http://www.fordvehicles.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11880,11,5,219,"",27,Taurus AWD FFV,2018,"","",13.0,MPGe,20.0,MPGe,17.0,24.0,Auto,SI,3.5L,6,3.5L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11879,11,5,219,"",27,Taurus FWD FFV,2018,"","",13.0,MPGe,18.0,MPGe,18.0,27.0,Auto,SI,3.5L,6,3.5L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11955,55,1,219,"",9,Transit 150/250 Van/Wagon,2018,"","","","","","","","",Auto,SI,3.7L,6,3.7L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,LPG,Propane,Van,Dedicated
11992,3,1,219,"",9,Transit 150/250 Van/Wagon,2018,"","","","","","","","",Auto,SI,3.7L,6,3.7L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Van,Dedicated
11853,3,1,219,"",9,Transit Connect Van/Wagon,2018,"","","","","","","","",Auto,SI,2.5L,4,2.5L I4,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Van,Dedicated
11874,11,5,219,"",9,Transit Connect Van/Wagon FFV,2018,"","",14.0,MPGe,19.0,MPGe,19.0,27.0,Auto,SI,2.5L,4,2.5L I4,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Van,Flexible Fuel
11873,11,5,219,"",9,Transit Connect Van/Wagon FFV,2018,"","",15.0,MPGe,20.0,MPGe,20.0,27.0,Auto,SI,2.5L,4,2.5L I4,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Van,Flexible Fuel
11875,11,5,219,"",9,Transit Connect Van/Wagon LWB FFV,2018,"","",14.0,MPGe,19.0,MPGe,19.0,27.0,Auto,SI,2.5L,4,2.5L I4,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Van,Flexible Fuel
11818,35,1,219,"",9,Transit T150 Van/Wagon,2018,"","","","","","","","",Auto,CI,3.2L,5,3.2L I5,"","","","","","","","",Ford,http://www.fordvehicles.com,BD,Biodiesel (B20),Van,Dedicated
11872,11,5,219,"",9,Transit T150 Van/Wagon FFV,2018,"","",10.0,MPGe,13.0,MPGe,14.0,18.0,Auto,SI,3.7L,6,3.7 V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Van,Flexible Fuel
11835,35,1,213,"",25,Canyon 2WD,2018,"","","","","","",22.0,30.0,Auto,CI,2.8L,4,2.8L I4,"","","","","","","","",GMC,http://www.gmc.com,BD,Biodiesel (B20),Truck,Dedicated
11836,35,1,213,"",25,Canyon 4WD,2018,"","","","","","",20.0,38.0,Auto,CI,2.8L,4,2.8L I4,"","","","","","","","",GMC,http://www.gmc.com,BD,Biodiesel (B20),Truck,Dedicated
11910,45,9,213,"",25,Sierra 15 Hybrid 2WD,2018,"","","","","","",18.0,24.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",GMC,http://www.gmc.com,HYBR,Hybrid Electric,Truck,Hybrid Electric
11911,45,9,213,"",25,Sierra 15 Hybrid 4WD,2018,"","","","","","",16.0,21.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",GMC,http://www.gmc.com,HYBR,Hybrid Electric,Truck,Hybrid Electric
11883,11,5,213,"",25,Sierra C15 2WD,2018,"","",12.0,MPGe,16.0,MPGe,18.0,24.0,Auto,SI,4.3L,6,4.3L V6,"","","","","","","","",GMC,http://www.gmc.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11884,11,5,213,"",25,Sierra C15 2WD,2018,"","",12.0,MPGe,17.0,MPGe,16.0,23.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",GMC,http://www.gmc.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11885,11,5,213,"",25,Sierra K15 2WD,2018,"","",12.0,MPGe,15.0,MPGe,17.0,22.0,Auto,SI,4.3L,6,4.3L V6,"","","","","","","","",GMC,http://www.gmc.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11886,11,5,213,"",25,Sierra K15 2WD,2018,"","",11.0,MPGe,16.0,MPGe,16.0,22.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",GMC,http://www.gmc.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11838,35,1,213,"",29,Terrain AWD,2018,"","","","","","",28.0,38.0,Auto,CI,1.6L,4,1.6L I4,"","","","","","","","",GMC,http://www.gmc.com,BD,Biodiesel (B20),SUV,Dedicated
11837,35,1,213,"",29,Terrain FWD,2018,"","","","","","",28.0,39.0,Auto,CI,1.6L,4,1.6L I4,"","","","","","","","",GMC,http://www.gmc.com,BD,Biodiesel (B20),SUV,Dedicated
11887,11,5,213,"",29,Yukon C1500 2WD,2018,"","",12.0,MPGe,17.0,MPGe,16.0,23.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",GMC,http://www.gmc.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11888,11,5,213,"",29,Yukon C1500 XL 2WD,2018,"","",12.0,MPGe,17.0,MPGe,16.0,23.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",GMC,http://www.gmc.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11889,11,5,213,"",29,Yukon K1500 4WD,2018,"","",11.0,MPGe,16.0,MPGe,16.0,23.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",GMC,http://www.gmc.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11890,11,5,213,"",29,Yukon K1500 XL 4WD,2018,"","",11.0,MPGe,15.0,MPGe,15.0,22.0,Auto,SI,5.3L,8,5.3L V8,"","","","","","","","",GMC,http://www.gmc.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11994,45,9,209,"",27,Accord Hybrid,2018,"","","","","","",47.0,47.0,Auto,SI,2.0L,4,2.0L I4,"","","","","","","","",Honda,http://automobiles.honda.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11991,41,1,209,"",27,Clarity,2018,"","",126.0,MPGe,103.0,MPGe,"","",Auto,e-motor,120 kW electric motor,"","120 kW electric motor
82 Ah battery","","","","","","","","",Honda,http://automobiles.honda.com,ELEC,Electric,Sedan/Wagon,Dedicated
11993,9,1,209,"",27,Clarity,2018,"","",68.0,MPGe,66.0,MPGe,"","",Auto,SI,130 kW electric motor,"","130 kW electric motor
346 V Lithium Ion battery","","","","","","","","",Honda,http://automobiles.honda.com,H2,Hydrogen Fuel Cell,Sedan/Wagon,Dedicated
11946,57,9,209,"",27,Clarity PHEV,2018,"","",110.0,MPGe,"","",44.0,40.0,Auto,SI,1.5L,4,"1.5L I4
135 kW electric motor","","","","","","","","",Honda,http://automobiles.honda.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11913,45,9,351,"",27,Ioniq,2018,"","","","","","",55.0,54.0,Auto,SI,1.6L,4,1.6L I4,"","","","","","","","",Hyundai,http://www.hyundaiusa.com/,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11914,45,9,351,"",27,Ioniq Blue,2018,"","","","","","",57.0,59.0,Auto,SI,1.6L,4,1.6L I4,"","","","","","","","",Hyundai,http://www.hyundaiusa.com/,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11844,41,1,351,"",27,Ioniq Electric,2018,"","",150.0,MPGe,122.0,MPGe,"","",Auto,e-motor,88 kW electric motor,"","88 kW electric motor
78 Ah battery","","","","","","","","",Hyundai,http://www.hyundaiusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11947,57,9,351,"",27,Ioniq Plug-in Hybrid,2018,"","",119.0,MPGe,"","",53.0,52.0,Auto,SI,1.6L,4,"1.6L I4
32 kW electric motor","","","","","","","","",Hyundai,http://www.hyundaiusa.com/,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11986,45,9,351,"",27,Sonata Hybrid,2018,"","","","","","",39.0,44.0,Auto,SI,2.0L,4,2.0L I4,"","","","","","","","",Hyundai,http://www.hyundaiusa.com/,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11987,45,9,351,"",27,Sonata Hybrid SE,2018,"","","","","","",40.0,46.0,Auto,SI,2.0L,4,2.0L I4,"","","","","","","","",Hyundai,http://www.hyundaiusa.com/,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11915,45,9,359,"",27,Q50 Hybrid,2018,"","","","","","",27.0,32.0,Auto,SI,3.5L,6,3.5L V6,"","","","","","","","",Infiniti,http://www.infinitiusa.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11916,45,9,359,"",27,Q50 Hybrid AWD,2018,"","","","","","",26.0,30.0,Auto,SI,3.5L,6,3.5L V6,"","","","","","","","",Infiniti,http://www.infinitiusa.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11917,45,9,359,"",27,Q70 Hybrid,2018,"","","","","","",28.0,33.0,Auto,SI,3.5L,6,3.5L V6,"","","","","","","","",Infiniti,http://www.infinitiusa.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11821,35,1,385,"",29,F-Pace,2018,"","","","","","",26.0,33.0,Auto,CI,2.0L,4,2.0L I4,"","","","","","","","",Jaguar,http://www.jaguarusa.com/index.html,BD,Biodiesel (B20),SUV,Dedicated
11822,35,1,385,"",27,XE,2018,"","","","","","",32.0,42.0,Auto,CI,2.0L,4,2.0L I4,"","","","","","","","",Jaguar,http://www.jaguarusa.com/index.html,BD,Biodiesel (B20),Sedan/Wagon,Dedicated
11823,35,1,385,"",27,XE AWD,2018,"","","","","","",30.0,40.0,Auto,CI,2.0L,4,2.0L I4,"","","","","","","","",Jaguar,http://www.jaguarusa.com/index.html,BD,Biodiesel (B20),Sedan/Wagon,Dedicated
11824,35,1,385,"",27,XF,2018,"","","","","","",31.0,42.0,Auto,CI,2.0L,4,2.0L I4,"","","","","","","","",Jaguar,http://www.jaguarusa.com/index.html,BD,Biodiesel (B20),Sedan/Wagon,Dedicated
11825,35,1,385,"",27,XF AWD,2018,"","","","","","",30.0,40.0,Auto,CI,2.0L,4,2.0L I4,"","","","","","","","",Jaguar,http://www.jaguarusa.com/index.html,BD,Biodiesel (B20),Sedan/Wagon,Dedicated
11892,11,5,275,"",29,Cherokee 4WD,2018,"","",14.0,MPGe,21.0,MPGe,21.0,28.0,Auto,SI,2.4L,4,2.4L I4,"","","","","","","","",Jeep,https://www.fleet.chrysler.com/fleetcda/fleetusa,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11891,11,5,275,"",29,Cherokee FWD,2018,"","",15.0,MPGe,22.0,MPGe,21.0,30.0,Auto,SI,2.4L,4,2.4L I4,"","","","","","","","",Jeep,https://www.fleet.chrysler.com/fleetcda/fleetusa,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11893,11,5,275,"",29,Renegade 4x2,2018,"","",16.0,MPGe,23.0,MPGe,22.0,30.0,Auto,SI,2.4L,4,2.4L I4,"","","","","","","","",Jeep,https://www.fleet.chrysler.com/fleetcda/fleetusa,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
